dataset,count_dx,tool,cell_count,tool_cell_count
https://entity.api.hubmapconsortium.org/entities/79f087ae551dd72997f174646bb0d5e0,-124,popv,4899,4775
https://entity.api.sennetconsortium.org/entities/49a77ec5055a8878f95f3eedaac94136,-116,popv,6164,6048
https://entity.api.sennetconsortium.org/entities/aaf6fd6d7017710bdf87d9eb43123e9b,-116,popv,6164,6048
https://entity.api.hubmapconsortium.org/entities/37e2a37daa119629991bbc398d00b576,-111,popv,12998,12887
https://entity.api.hubmapconsortium.org/entities/e31177002791e52119acd9e0b2d06f78,-111,popv,12998,12887
https://entity.api.hubmapconsortium.org/entities/0119a79114328c9b2802771bed6611f5,-103,popv,12999,12896
https://entity.api.hubmapconsortium.org/entities/4e8e7086fb06489f040447e27f40dcf3,-103,popv,12999,12896
https://entity.api.hubmapconsortium.org/entities/39cca81a274a06be881734d01dcc7f66,-95,popv,11996,11901
https://entity.api.hubmapconsortium.org/entities/996a59f0f3819e0b8b425de528467407,-95,popv,11996,11901
https://entity.api.hubmapconsortium.org/entities/6f98ad7345f59e9a0a60b6f706b373bb,-87,popv,208,121
https://entity.api.hubmapconsortium.org/entities/6a05e7d78aca48e29e5c5f6cf7c08c58,-84,popv,9000,8916
https://entity.api.hubmapconsortium.org/entities/8f127a10d370ddfbc902313f248721c3,-84,popv,9000,8916
https://entity.api.hubmapconsortium.org/entities/cae2beaf3926759549dbf4128d6b5ebd,-81,popv,5998,5917
https://entity.api.hubmapconsortium.org/entities/37ccf28cb5c06e8ba076f587ee4e50be,-75,popv,8201,8126
https://entity.api.hubmapconsortium.org/entities/53fe8a84564b313d4e8ee90f337129dc,-75,popv,8201,8126
https://entity.api.hubmapconsortium.org/entities/9b20142483d5714c66885b690c00af4f,-67,popv,11000,10933
https://entity.api.hubmapconsortium.org/entities/d6760d3e17a9a0d5126461af7ee63d0b,-67,popv,11000,10933
https://entity.api.hubmapconsortium.org/entities/d48b7990d638dbede870ae9c1976e475,-64,popv,9872,9808
https://entity.api.hubmapconsortium.org/entities/045a7d6bcca6e1d22c7f6dee032ce25a,-62,popv,10999,10937
https://entity.api.hubmapconsortium.org/entities/98fd7493f62883b748e0f37885be0f07,-62,popv,10999,10937
https://entity.api.hubmapconsortium.org/entities/65fff84c7cbf4fda89c1a038f4739edc,-57,popv,9998,9941
https://entity.api.hubmapconsortium.org/entities/7e7d753ec5074f5d7ae987c47f1c3c0b,-57,popv,9998,9941
https://entity.api.hubmapconsortium.org/entities/643d4afbd87752a89d7643faed261aba,-52,popv,9997,9945
https://entity.api.hubmapconsortium.org/entities/e3794812796232ea2f9335c07c9f0aad,-52,popv,9997,9945
https://entity.api.hubmapconsortium.org/entities/f846d8a192affe8580eacd18e4e27897,-52,popv,9998,9946
https://entity.api.hubmapconsortium.org/entities/f8f8401447d60221cef0532952e59b98,-52,popv,9998,9946
https://entity.api.hubmapconsortium.org/entities/abcc3410656bc854cf5e0abdee3de738,-51,popv,5099,5048
https://entity.api.hubmapconsortium.org/entities/1c741950348e7e32df189a67c73360bb,-50,popv,8999,8949
https://entity.api.hubmapconsortium.org/entities/93e233e001463fea35d8617c34da098c,-50,popv,8999,8949
https://entity.api.hubmapconsortium.org/entities/71477f504b0069828a368009fa3ab1ad,-45,popv,1672,1627
https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a,-44,popv,6000,5956
https://entity.api.hubmapconsortium.org/entities/2edf11e0b51b157a319a5fdf68b0d3c7,-43,popv,9000,8957
https://entity.api.hubmapconsortium.org/entities/5ee0b172de3ea493e0da2e7f743b3631,-43,popv,9000,8957
https://entity.api.hubmapconsortium.org/entities/0b590c9e3a62178da592e85572e2f1bf,-37,popv,7980,7943
https://entity.api.hubmapconsortium.org/entities/3f3d9117172a7ebda1a57b2d871ce1be,-37,popv,4921,4884
https://entity.api.sennetconsortium.org/entities/dfcaf1bf0bf4a73bfbd37aa1565a0b70,-37,popv,11000,10963
https://entity.api.sennetconsortium.org/entities/939b748d576fe45f5b236f86a068d2e8,-33,popv,9594,9561
https://entity.api.hubmapconsortium.org/entities/f85a3bfcde06f603102506c851dd76a0,-32,popv,5929,5897
https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda,-29,popv,3560,3531
https://entity.api.hubmapconsortium.org/entities/9aed52d22e30b893045fd1f79b3663fb,-28,popv,7980,7952
https://entity.api.hubmapconsortium.org/entities/e81c9c9753998b2ca69e8bceadf2409d,-28,popv,11236,11208
https://entity.api.hubmapconsortium.org/entities/ed630484e46ea49b319c0e1f92140059,-28,popv,11236,11208
https://entity.api.hubmapconsortium.org/entities/3152ddcb811d362113ebb119602f2cd4,-27,popv,4856,4829
https://entity.api.hubmapconsortium.org/entities/453b06e1f62ec3e54d8380e4e974a5a5,-25,popv,10725,10700
https://entity.api.hubmapconsortium.org/entities/d1d10cfa18d059a96365998fe6406ca9,-25,popv,6858,6833
https://entity.api.hubmapconsortium.org/entities/87e85403e3f7a946fc40bdcf5cba8360,-24,popv,6017,5993
https://entity.api.hubmapconsortium.org/entities/faa1acc13943ee9d365b6cc6a3ea889f,-24,popv,4856,4832
https://entity.api.hubmapconsortium.org/entities/2a0db35326925681bfcd269de5a7e835,-18,popv,8999,8981
https://entity.api.hubmapconsortium.org/entities/e7abfa80618f6dffe82267a6ea144c5a,-18,popv,8999,8981
https://entity.api.hubmapconsortium.org/entities/a48ab0bf5d8084da24859c4e64336e9c,-17,popv,3228,3211
https://entity.api.hubmapconsortium.org/entities/d0f164331f53f745cfa3e67bf3feb22d,-17,popv,3228,3211
https://entity.api.hubmapconsortium.org/entities/020117a381ac84a941c974b939ea3115,-16,popv,10996,10980
https://entity.api.hubmapconsortium.org/entities/4c43019216361c99ef2d9c4a1d9b8c6b,-16,popv,11996,11980
https://entity.api.hubmapconsortium.org/entities/87023a2c65ec7aaa439af2a55c77cbb5,-16,popv,10999,10983
https://entity.api.hubmapconsortium.org/entities/a483dd481580fd0dfc3e5aa00426ab58,-16,popv,11996,11980
https://entity.api.hubmapconsortium.org/entities/f4f6e6614dd5645a37eae9dee1d6bbef,-16,popv,10999,10983
https://entity.api.hubmapconsortium.org/entities/f91fddc1041953e0f09a1ede20b58f97,-16,popv,10996,10980
https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642,-14,popv,6000,5986
https://entity.api.hubmapconsortium.org/entities/494be3179855c071121a9307e0e84683,-13,popv,8999,8986
https://entity.api.hubmapconsortium.org/entities/0b0ef5c2b8786644f0b6bdef1c1d7a4f,-11,popv,5097,5086
https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426,-11,popv,2119,2108
https://entity.api.hubmapconsortium.org/entities/5d111a1db2f18d507d23e79b993e1e4a,-11,popv,8430,8419
https://entity.api.hubmapconsortium.org/entities/8e2806ca447695e674889dba28506d38,-11,popv,277,266
https://entity.api.hubmapconsortium.org/entities/b340bb5715f967aa74d1b8eaeec0d475,-11,popv,7499,7488
https://entity.api.hubmapconsortium.org/entities/d0c1bd09443c301413f44f7108d20e08,-11,popv,8430,8419
https://entity.api.hubmapconsortium.org/entities/4b3d4efca2e64a650e943c7bf63f9830,-10,popv,8993,8983
https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16,-9,popv,4294,4285
https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5,-8,popv,6000,5992
https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,-8,popv,7499,7491
https://entity.api.hubmapconsortium.org/entities/69d175d24b6b3997cc99fa6531a5fbce,-8,popv,6000,5992
https://entity.api.hubmapconsortium.org/entities/9b03c4c79ef7bcd1e8992cd50ed3f482,-8,popv,4337,4329
https://entity.api.hubmapconsortium.org/entities/032d7b6b0b4c3c66772c7dbee2fe9606,-7,popv,464,457
https://entity.api.hubmapconsortium.org/entities/4b16c24a3997ea8754921b0f1d60bc4d,-7,popv,6601,6594
https://entity.api.hubmapconsortium.org/entities/5018361bf80fb257d39cea6f4425bbae,-7,popv,10996,10989
https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,-7,popv,12999,12992
https://entity.api.hubmapconsortium.org/entities/9305d53ae8c0dd565a088cd45f20e0c8,-7,popv,6601,6594
https://entity.api.hubmapconsortium.org/entities/d67c61063b82f6479e93133bdd8949fb,-7,popv,16000,15993
https://entity.api.hubmapconsortium.org/entities/e73d3a3ccb7d5f8ca8a0df5eb2724f94,-7,popv,10996,10989
https://entity.api.hubmapconsortium.org/entities/0f35f3bd23a8f773c7213d558338e74d,-6,popv,6997,6991
https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1,-6,popv,3188,3182
https://entity.api.hubmapconsortium.org/entities/18b8ab61674cf05024456cde49ac67bb,-5,popv,12997,12992
https://entity.api.hubmapconsortium.org/entities/39d51c436734e5750bf84553ef7eaf85,-5,popv,4434,4429
https://entity.api.hubmapconsortium.org/entities/425f83d73a8c5786810c0272c0c207c4,-5,popv,11997,11992
https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172,-5,popv,5999,5994
https://entity.api.hubmapconsortium.org/entities/5e47d518f078be2553080b88d8b33323,-5,popv,11997,11992
https://entity.api.hubmapconsortium.org/entities/c7b84545e944c05c781540c3166f780f,-5,popv,12997,12992
https://entity.api.sennetconsortium.org/entities/1ffd4842e6a1643f538f42eb7fff5bbc,-5,popv,3140,3135
https://entity.api.hubmapconsortium.org/entities/266d58d22549461cd454c32084b9f7fe,-4,popv,3478,3474
https://entity.api.hubmapconsortium.org/entities/48bdce10978fb6c94a513987ab657031,-4,popv,10000,9996
https://entity.api.hubmapconsortium.org/entities/5952a8d5dd376b81baaf5f9b784c1cd4,-4,popv,10995,10991
https://entity.api.hubmapconsortium.org/entities/6f289cf6ba3614682e8d5f6c8e93ebb1,-4,popv,4227,4223
https://entity.api.hubmapconsortium.org/entities/811e4fd5a09896edcb70814a582e85e4,-4,popv,2449,2445
https://entity.api.hubmapconsortium.org/entities/90842f728f8bf896fe5a86e902e00f4e,-4,popv,10000,9996
https://entity.api.hubmapconsortium.org/entities/9308dab31ff0b18325f79a671cd6d833,-4,popv,9045,9041
https://entity.api.hubmapconsortium.org/entities/bb10cd1926335fb8fb20bfc041337681,-4,popv,10995,10991
https://entity.api.hubmapconsortium.org/entities/056c97623fca0f1414572b68aca69cee,-3,popv,13999,13996
https://entity.api.hubmapconsortium.org/entities/0a0eb095c8e7f7c890da20184d7527cb,-3,popv,5998,5995
https://entity.api.hubmapconsortium.org/entities/174c43df28ab2ab737471d00a65d7730,-3,popv,1999,1996
https://entity.api.hubmapconsortium.org/entities/4e9a64e657cca28ad36bd2c62693b6e0,-3,popv,4300,4297
https://entity.api.hubmapconsortium.org/entities/56060793c38c82d8c312e5e05d5d189b,-3,popv,18993,18990
https://entity.api.hubmapconsortium.org/entities/578f1282276ddc1cc4c4817e4950f13c,-3,popv,10998,10995
https://entity.api.hubmapconsortium.org/entities/79bf632f74be9a08676131877d919127,-3,popv,5999,5996
https://entity.api.hubmapconsortium.org/entities/81d8286998779f11d424210f19276941,-3,popv,2749,2746
https://entity.api.hubmapconsortium.org/entities/8ae1c6747fb4f469edd91f1f23f65d24,-3,popv,5999,5996
https://entity.api.hubmapconsortium.org/entities/8ccdee5587a477c482be2e6e19dddf7a,-3,popv,3993,3990
https://entity.api.hubmapconsortium.org/entities/a56498f8e577a6caed934c83cbbb0bb3,-3,popv,1464,1461
https://entity.api.hubmapconsortium.org/entities/ae24a29456fe677fcb97a4468eba922a,-3,popv,975,972
