organId,organ,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0001004,respiratory system,Lateral bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.9661785763437842,31,5
UBERON:0001004,respiratory system,Medial bronchopulmonary segment,Left anterior segmental bronchus,0.9656533688110611,50,7
UBERON:0001004,respiratory system,Inferior lingular bronchopulmonary segment,Right anterior segmental bronchus,0.9649239374585032,5,2
UBERON:0001004,respiratory system,Right anterior basal bronchopulmonary segment,Left anterior bronchopulmonary segment,0.963507439750911,14,13
UBERON:0001004,respiratory system,Medial bronchopulmonary segment,Right anterior basal bronchopulmonary segment,0.9614514305113374,50,14
UBERON:0001004,respiratory system,Lateral bronchopulmonary segment,Right anterior basal bronchopulmonary segment,0.9610791367117759,31,14
UBERON:0001004,respiratory system,Right posterior bronchopulmonary segment,Left posterior bronchopulmonary segment,0.9596240601331497,13,8
UBERON:0001004,respiratory system,Superior lingular bronchopulmonary segment,Left anterior segmental bronchus,0.9588732223052501,9,7
UBERON:0001004,respiratory system,left lung hilus,Right anterior basal bronchopulmonary segment,0.9579665458456378,3,14
UBERON:0001004,respiratory system,Right superior bronchopulmonary segment,Left apical segmental bronchus,0.9572738886045127,4,9
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Right anterior basal bronchopulmonary segment,0.9548328519193864,7,14
UBERON:0001004,respiratory system,Superior lingular bronchopulmonary segment,Left apical segmental bronchus,0.9525496622364483,9,9
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Right superior segmental bronchus,0.952532227056431,7,2
UBERON:0001004,respiratory system,Left posterior bronchopulmonary segment,Right anterior segmental bronchus,0.9516665544048373,8,2
UBERON:0001004,respiratory system,Superior lingular bronchopulmonary segment,Superior lingular bronchus,0.9503190637448633,9,2
UBERON:0001004,respiratory system,Right posterior bronchopulmonary segment,Left apical bronchopulmonary segment,0.9490061352981857,13,11
UBERON:0001004,respiratory system,Right anterior basal bronchopulmonary segment,Left apical bronchopulmonary segment,0.9482912503668541,14,11
UBERON:0001004,respiratory system,right lung hilus,Right apical bronchopulmonary segment,0.9480886266555872,2,7
UBERON:0001004,respiratory system,Superior lingular bronchopulmonary segment,Right superior segmental bronchus,0.94792606820363,9,2
