dataset,reported_organ,tool,modality,as,pct_hra_ct_overlap
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002015,0.89583333333333333333
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,0.89583333333333333333
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004200,0.89583333333333333333
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001223,0.89583333333333333333
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,0.89583333333333333333
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001228,0.89583333333333333333
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,0.89583333333333333333
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001157,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001052,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001159,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001248,0.85294117647058823529
