sex,donor,consortium_name
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_12,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_13,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_14,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_15,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_16,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_17,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_18,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_19,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_2,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_20,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_21,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_22,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_23,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_24,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_25,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_26,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_27,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_28,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_29,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_3,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_30,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_31,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_32,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_33,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_34,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_35,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_36,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_37,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_38,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_39,CxG
