tool,cell_id,cell_label,cell_count,gene_id,gene_label,gene_expr,dataset
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,741,HGNC:534,ANXA10,6.8582995951417,https://api.cellxgene.cziscience.com/dp/v1/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5#Pat05$body%20of%20stomach
popv,http://purl.obolibrary.org/obo/CL_0002633,basal cell,475,ASCTB-TEMP:anxa10,ANXA10,2.314256876631301,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855481_Lung_2_4$alveolar%20sac
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,3495,HGNC:534,ANXA10,20.00286123032905,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#H9$intestine
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,2364,HGNC:534,ANXA10,1.183164128595601,https://api.cellxgene.cziscience.com/dp/v1/collections/a18474f4-ff1e-4864-af69-270b956cee5b#L03$body%20of%20stomach
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,593,HGNC:534,ANXA10,2.559865092748735,https://api.cellxgene.cziscience.com/dp/v1/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5#Pat10$body%20of%20stomach
popv,http://purl.obolibrary.org/obo/CL_0002633,basal cell,655,ASCTB-TEMP:anxa10,ANXA10,2.828854420609023,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855474_Lung_1_1$alveolar%20sac
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000786,Plasma cell,2,HGNC:534,ANXA10,0.5,https://api.cellxgene.cziscience.com/dp/v1/collections/c53573b2-eff4-4c5e-9ad0-b24d422dfd9b#R24_P2574$Brodmann%20(1909)%20area%204
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000646,Basal cell of bladder,2,HGNC:534,ANXA10,1,https://api.cellxgene.cziscience.com/dp/v1/collections/9c9d04c4-8899-417f-bb6f-6107dcadf14f#D_080$cortex%20of%20kidney
popv,http://purl.obolibrary.org/obo/CL_0002633,basal cell,861,ASCTB-TEMP:anxa10,ANXA10,1.287047490649715,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_ASCL1_overexpression$lung
popv,http://purl.obolibrary.org/obo/CL_2000016,lung microvascular endothelial cell,2,ASCTB-TEMP:anxa10,ANXA10,2.788273505244247,https://entity.api.sennetconsortium.org/entities/5b2462b694f90b6d20ebff363e8989f4
popv,http://purl.obolibrary.org/obo/CL_2000016,lung microvascular endothelial cell,2,ASCTB-TEMP:anxa10,ANXA10,2.788273505244247,https://entity.api.sennetconsortium.org/entities/372e3ebd4c8d0b2a6318398b740bfb6a
popv,http://purl.obolibrary.org/obo/CL_0002633,basal cell,691,ASCTB-TEMP:anxa10,ANXA10,2.878450439847326,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855475_Lung_1_2$alveolar%20sac
popv,http://purl.obolibrary.org/obo/CL_0002633,basal cell,677,ASCTB-TEMP:anxa10,ANXA10,2.779873082765481,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855476_Lung_1_3$alveolar%20sac
popv,http://purl.obolibrary.org/obo/CL_0002633,basal cell,435,ASCTB-TEMP:anxa10,ANXA10,2.274510496984238,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855479_Lung_2_2$alveolar%20sac
popv,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,8,ASCTB-TEMP:anxa10,ANXA10,2.892988688545397,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_deltaNp63alpha_overexpression$lung
popv,http://purl.obolibrary.org/obo/CL_0002633,basal cell,461,ASCTB-TEMP:anxa10,ANXA10,2.224563202014547,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855478_Lung_2_1$alveolar%20sac
