sex,dataset,technology,description,annotation_method,unique_cell_type_count
Male,https://entity.api.hubmapconsortium.org/entities/8df15cb20f5e127d102a73d0ec5682a0,RNAseq,Dataset Type: RNAseq [Salmon],popv,32
Male,https://entity.api.hubmapconsortium.org/entities/8df15cb20f5e127d102a73d0ec5682a0,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,44
Male,https://entity.api.hubmapconsortium.org/entities/b340bb5715f967aa74d1b8eaeec0d475,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,28
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,40
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,50
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$interventricular%20septum,10x,"Data/Assay Types: 10x, ",azimuth,16
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$interventricular%20septum,10x,"Data/Assay Types: 10x, ",celltypist,38
Male,https://entity.api.hubmapconsortium.org/entities/84db9a72aba9ae0ef740192ad8747ee3,RNAseq,Dataset Type: RNAseq [Salmon],popv,32
Male,https://entity.api.hubmapconsortium.org/entities/84db9a72aba9ae0ef740192ad8747ee3,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,44
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,19
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,37
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,48
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,18
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,35
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,45
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,18
