rui_location,organ,as_label,as_id,intersection_volume,as_volume,tissue_block_volume
http://purl.org/ccf/1.5/5475ae38-db50-4868-92ba-8718bf136c7b,VHMProstate,central zone of prostate,http://purl.obolibrary.org/obo/UBERON_8410027,30.099999999999998,1753.812347120709,700
http://purl.org/ccf/1.5/db35f27d-313f-4dd6-819b-375cf106aac1,VHMRightKidney,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,12,109924.9845169422,12
http://purl.org/ccf/1.5/314450f7-0477-4152-b4d6-cb474cbc0cd7,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,644.436,2109804.44224585,7956
http://purl.org/ccf/1.5/56d63930-60f2-49f5-a3bb-afc8d865c152,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,2352,2109804.44224585,2352
http://purl.org/ccf/1.5/cce37703-e4e8-454c-a0c4-4ff58652ab8f,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,1000,2109804.44224585,1000
http://purl.org/ccf/1.5/d16014ad-8b92-487b-bca7-044d3d745dba,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,1397.088,2109804.44224585,2156
http://purl.org/ccf/1.5/fcfcc65b-f91f-4447-a29b-c9836104570c,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,1008,2109804.44224585,1008
http://purl.org/ccf/1.5/ff034c0c-a625-48b8-891c-857e556db1c4,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,1386,2109804.44224585,1386
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,594.0,10111.8381305958,1800
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,VHMSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,633.15,14601.44321103808,1350
http://purl.org/ccf/1.5/2b38ef86-7e4d-4e27-b9c6-d2015ec49692,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,594.0,10111.8381305958,1800
http://purl.org/ccf/1.5/3177d8d7-3b26-4aa3-9984-3c112d461446,VHMSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,351.0,10554.93714232167,1350
http://purl.org/ccf/1.5/3177d8d7-3b26-4aa3-9984-3c112d461446,VHMSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,145.8,7109.889886530647,1350
http://purl.org/ccf/1.5/42b97dcb-2033-40ea-82a2-319a1e30dca2,VHMSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,351.0,10554.93714232167,1350
http://purl.org/ccf/1.5/42b97dcb-2033-40ea-82a2-319a1e30dca2,VHMSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,145.8,7109.889886530647,1350
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,594.0,10111.8381305958,1800
http://purl.org/ccf/1.5/502f175c-9d55-4341-b6ff-0f04d76522d5,VHMSmallIntestine,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,463.05,194372.0765770627,1350
http://purl.org/ccf/1.5/5d35eae0-82df-40c7-952c-6fbab03034b2,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,594.0,10111.8381305958,1800
http://purl.org/ccf/1.5/63b2f5a9-5914-4c45-9239-139948a93498,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,594.0,10111.8381305958,1800
http://purl.org/ccf/1.5/6f055461-adb2-41fe-86c1-50d3afdf9360,VHMSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,633.15,14601.44321103808,1350
http://purl.org/ccf/1.5/6f89860a-30df-4b79-8e6d-dd209c959374,VHMSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,633.15,14601.44321103808,1350
http://purl.org/ccf/1.5/6fe91946-48bb-485f-9ad0-5f0550d1f2b3,VHMSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,633.15,14601.44321103808,1350
http://purl.org/ccf/1.5/75ff443d-c177-4dab-a866-89e9141b73a4,VHMSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,351.0,10554.93714232167,1350
http://purl.org/ccf/1.5/75ff443d-c177-4dab-a866-89e9141b73a4,VHMSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,145.8,7109.889886530647,1350
