collection,dataset_count
https://api.cellxgene.cziscience.com/dp/v1/collections/1d1c7275-476a-49e2-9022-ad1b1c793594,8
https://api.cellxgene.cziscience.com/dp/v1/collections/24d42e5e-ce6d-45ff-a66b-a3b3b715deaf,8
https://api.cellxgene.cziscience.com/dp/v1/collections/b0cf0afa-ec40-4d65-b570-ed4ceacc6813,8
https://api.cellxgene.cziscience.com/dp/v1/collections/93eebe82-d8c3-41bc-a906-63b5b5f24a9d,8
https://api.cellxgene.cziscience.com/dp/v1/collections/a238e9fa-2bdf-41df-8522-69046f99baff,8
https://api.cellxgene.cziscience.com/dp/v1/collections/e9c73b68-e980-49c2-8d0d-1c9cab21507e,8
https://api.cellxgene.cziscience.com/dp/v1/collections/10bf5c50-8d85-4c5f-94b4-22c1363d9f31,8
https://api.cellxgene.cziscience.com/dp/v1/collections/1e313b15-4aca-4e5a-94a3-1093c4c42abd,8
https://api.cellxgene.cziscience.com/dp/v1/collections/b0f0b447-ac37-45b0-b1bf-5c0b7d871120,8
https://api.cellxgene.cziscience.com/dp/v1/collections/0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e,7
https://api.cellxgene.cziscience.com/dp/v1/collections/3a2af25b-2338-4266-aad3-aa8d07473f50,7
https://api.cellxgene.cziscience.com/dp/v1/collections/4dca242c-d302-4dba-a68f-4c61e7bad553,7
https://api.cellxgene.cziscience.com/dp/v1/collections/c9706a92-0e5f-46c1-96d8-20e42467f287,7
https://api.cellxgene.cziscience.com/dp/v1/collections/13d1c580-4b17-4b2e-85c4-75b36917413f,6
https://api.cellxgene.cziscience.com/dp/v1/collections/1a486c4c-c115-4721-8c9f-f9f096e10857,6
https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168,6
https://api.cellxgene.cziscience.com/dp/v1/collections/7651ac1a-f947-463a-9223-a9e408a41989,6
https://api.cellxgene.cziscience.com/dp/v1/collections/6d203948-a779-4b69-9b3f-1ee1dadc3980,6
https://api.cellxgene.cziscience.com/dp/v1/collections/e2a4a67f-6a18-431a-ab9c-6e77dd31cc80,6
https://api.cellxgene.cziscience.com/dp/v1/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,5
https://api.cellxgene.cziscience.com/dp/v1/collections/5d445965-6f1a-4b68-ba3a-b8f765155d3a,5
https://api.cellxgene.cziscience.com/dp/v1/collections/83ed3be8-4cb9-43e6-9aaa-3fbbf5d1bd3a,5
https://api.cellxgene.cziscience.com/dp/v1/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,5
https://api.cellxgene.cziscience.com/dp/v1/collections/bd5230f4-cd76-4d35-9ee5-89b3e7475659,5
https://api.cellxgene.cziscience.com/dp/v1/collections/c353707f-09a4-4f12-92a0-cb741e57e5f0,5
https://api.cellxgene.cziscience.com/dp/v1/collections/db468083-041c-41ca-8f6f-bf991a070adf,5
https://api.cellxgene.cziscience.com/dp/v1/collections/2902f08c-f83c-470e-a541-e463e25e5058,5
https://api.cellxgene.cziscience.com/dp/v1/collections/348da6dc-5bf6-435d-adc5-37747b9ae38a,4
https://api.cellxgene.cziscience.com/dp/v1/collections/44531dd9-1388-4416-a117-af0a99de2294,4
https://api.cellxgene.cziscience.com/dp/v1/collections/6e8c5415-302c-492a-a5f9-f29c57ff18fb,4
https://api.cellxgene.cziscience.com/dp/v1/collections/939769a8-d8d2-4d01-abfc-55699893fd49,4
https://api.cellxgene.cziscience.com/dp/v1/collections/847fafc3-41a1-4a0d-9461-0328c88e9b13,4
https://api.cellxgene.cziscience.com/dp/v1/collections/cdfb9ead-cb58-4a53-879d-5e4ed5329e73,4
https://api.cellxgene.cziscience.com/dp/v1/collections/d2684035-a36e-458e-96af-8e37930bfdf6,4
https://api.cellxgene.cziscience.com/dp/v1/collections/3472f32d-4a33-48e2-aad5-666d4631bf4c,3
https://api.cellxgene.cziscience.com/dp/v1/collections/a261413d-835b-4f1e-ab0c-dada55ea6afd,3
https://api.cellxgene.cziscience.com/dp/v1/collections/00109df5-7810-4542-8db5-2288c46e0424,3
https://api.cellxgene.cziscience.com/dp/v1/collections/6686ada5-43a8-40b6-9a05-6894503606db,3
https://api.cellxgene.cziscience.com/dp/v1/collections/f30e0bf7-7b03-44b0-b312-cda799ef0240,3
https://api.cellxgene.cziscience.com/dp/v1/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,2
https://api.cellxgene.cziscience.com/dp/v1/collections/964581c3-b5ac-494d-9bd4-0dcb6fb058da,2
https://api.cellxgene.cziscience.com/dp/v1/collections/b1912131-de29-4f13-b528-164b45d69cfd,2
https://api.cellxgene.cziscience.com/dp/v1/collections/d0e9c47b-4ce7-4f84-b182-eddcfa0b2658,2
https://api.cellxgene.cziscience.com/dp/v1/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5,1
https://api.cellxgene.cziscience.com/dp/v1/collections/3db5617e-9f12-4eb4-8416-94893a0d7c46,1
https://api.cellxgene.cziscience.com/dp/v1/collections/59cd85c5-3b22-4035-b628-2a20810ad54b,1
https://api.cellxgene.cziscience.com/dp/v1/collections/2a79d190-a41e-4408-88c8-ac5c4d03c0fc,1
https://api.cellxgene.cziscience.com/dp/v1/collections/398e34a9-8736-4b27-a9a7-31a47a67f446,1
https://api.cellxgene.cziscience.com/dp/v1/collections/4a9fd4d7-d870-4265-89a5-ad51ab811d89,1
https://api.cellxgene.cziscience.com/dp/v1/collections/99be70c4-e534-4413-a607-ce40b3ff2c77,1
https://api.cellxgene.cziscience.com/dp/v1/collections/9c8808ce-1138-4dbe-818c-171cff10e650,1
