modality,tool,cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
sc_transcriptomics,celltypist,adipocyte,http://purl.obolibrary.org/obo/CL_0000136,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000136,adipocyte
sc_transcriptomics,pan-human-azimuth,adipocyte,http://purl.obolibrary.org/obo/CL_0000136,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000136,adipocyte
sc_transcriptomics,popv,adipocyte,http://purl.obolibrary.org/obo/CL_0000136,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000136,adipocyte
sc_proteomics,vccf,adipocyte,http://purl.obolibrary.org/obo/CL_0000136,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000136,adipocyte
sc_transcriptomics,popv,melanocyte,http://purl.obolibrary.org/obo/CL_0000148,true,http://purl.obolibrary.org/obo/CL_0000148,melanocyte,,
sc_transcriptomics,pan-human-azimuth,melanocyte,http://purl.obolibrary.org/obo/CL_0000148,true,http://purl.obolibrary.org/obo/CL_0000148,melanocyte,,
sc_proteomics,vccf,glandular secretory epithelial cell,http://purl.obolibrary.org/obo/CL_0000150,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,pan-human-azimuth,peptic cell,http://purl.obolibrary.org/obo/CL_0000155,true,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell,,
sc_transcriptomics,popv,club cell,http://purl.obolibrary.org/obo/CL_0000158,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,club cell,http://purl.obolibrary.org/obo/CL_0000158,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,pan-human-azimuth,club cell,http://purl.obolibrary.org/obo/CL_0000158,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,celltypist,club cell,http://purl.obolibrary.org/obo/CL_0000158,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,frmatch,club cell,http://purl.obolibrary.org/obo/CL_0000158,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,goblet cell,http://purl.obolibrary.org/obo/CL_0000160,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,celltypist,goblet cell,http://purl.obolibrary.org/obo/CL_0000160,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,deepcelltypes-hubmap,goblet cell,http://purl.obolibrary.org/obo/CL_0000160,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,stellar,goblet cell,http://purl.obolibrary.org/obo/CL_0000160,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,vccf,goblet cell,http://purl.obolibrary.org/obo/CL_0000160,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,deepcelltypes,goblet cell,http://purl.obolibrary.org/obo/CL_0000160,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,celltypist,enteroendocrine cell,http://purl.obolibrary.org/obo/CL_0000164,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,pan-human-azimuth,enteroendocrine cell,http://purl.obolibrary.org/obo/CL_0000164,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,vccf,enteroendocrine cell,http://purl.obolibrary.org/obo/CL_0000164,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,deepcelltypes-hubmap,neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_transcriptomics,stellar,neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_proteomics,vccf,neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_transcriptomics,celltypist,neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_transcriptomics,popv,type B pancreatic cell,http://purl.obolibrary.org/obo/CL_0000169,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,type B pancreatic cell,http://purl.obolibrary.org/obo/CL_0000169,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,pan-human-azimuth,type B pancreatic cell,http://purl.obolibrary.org/obo/CL_0000169,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,celltypist,type B pancreatic cell,http://purl.obolibrary.org/obo/CL_0000169,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,vccf,type B pancreatic cell,http://purl.obolibrary.org/obo/CL_0000169,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,popv,pancreatic A cell,http://purl.obolibrary.org/obo/CL_0000171,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
