cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
mesenchymal stem cell,http://purl.obolibrary.org/obo/CL_0000134,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
fibrocyte,http://purl.obolibrary.org/obo/CL_0000135,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
adipocyte,http://purl.obolibrary.org/obo/CL_0000136,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000136,adipocyte
osteocyte,http://purl.obolibrary.org/obo/CL_0000137,true,http://purl.obolibrary.org/obo/CL_0001035,bone cell,,
chondrocyte,http://purl.obolibrary.org/obo/CL_0000138,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
odontocyte,http://purl.obolibrary.org/obo/CL_0000140,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,,
cementocyte,http://purl.obolibrary.org/obo/CL_0000141,true,http://purl.obolibrary.org/obo/CL_0001035,bone cell,,
hyalocyte,http://purl.obolibrary.org/obo/CL_0000142,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
guidepost cell,http://purl.obolibrary.org/obo/CL_0000143,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,,
professional antigen presenting cell,http://purl.obolibrary.org/obo/CL_0000145,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
simple columnar epithelial cell,http://purl.obolibrary.org/obo/CL_0000146,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
melanocyte,http://purl.obolibrary.org/obo/CL_0000148,true,http://purl.obolibrary.org/obo/CL_0000148,melanocyte,,
glandular secretory epithelial cell,http://purl.obolibrary.org/obo/CL_0000150,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
exocrine cell,http://purl.obolibrary.org/obo/CL_0000152,true,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell,,
glycosaminoglycan secreting cell,http://purl.obolibrary.org/obo/CL_0000153,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
peptic cell,http://purl.obolibrary.org/obo/CL_0000155,true,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell,,
club cell,http://purl.obolibrary.org/obo/CL_0000158,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
goblet cell,http://purl.obolibrary.org/obo/CL_0000160,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
parietal cell,http://purl.obolibrary.org/obo/CL_0000162,true,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell,,
enteroendocrine cell,http://purl.obolibrary.org/obo/CL_0000164,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
chromaffin cell,http://purl.obolibrary.org/obo/CL_0000166,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
type B pancreatic cell,http://purl.obolibrary.org/obo/CL_0000169,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
pancreatic A cell,http://purl.obolibrary.org/obo/CL_0000171,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
pancreatic D cell,http://purl.obolibrary.org/obo/CL_0000173,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
