dataset,reported_organ,tool,modality,as,similarity
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7374,0.01629098760294581
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7430,0.008042736307001048
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7373,0.017804699905868984
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7402,0.06363783463859922
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7359,0.013086210778941006
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7339,0.014369859169878959
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7400,0.017004798335598963
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7386,0.016823945058309517
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7428,0.006608211926523386
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7267,0.9605940969668194
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma73165,0.0054441589253329805
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7364,0.031172200951397302
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14487,0.02410303229342653
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7385,0.02231178814976352
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0006082,0.14736725154927358
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma15828,0.002151236908045597
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002007,0.0002017627890212933
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7416,0.0062873140500166805
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.8646821797979394
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7375,0.008140291531108592
