dataset,reported_organ,tool,modality,corridor,similarity
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/26edd761-8b50-453c-9b03-2337806c9e3a,0.9100920928589205
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/8f99a469-7d51-46dc-919d-2e002eeae868,0.9100920928589205
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/6f74a57b-41ce-4581-a206-2e84b58c1c98,0.9100920928589205
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/61d9f366-c050-4c28-995f-32ab920a7ca8,0.9100920928589203
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/85ad9566-c363-4b61-a522-6576b253d9af,0.9100920928589202
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/731ade72-cdb7-4262-8be1-859396820dfd,0.9100920928589202
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/c2fe6203-2a4d-41eb-898a-ca22ca1646fa,0.9100920928589202
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/69ac0df4-f442-4d62-90dc-86fcbc38eb23,0.9100920928589202
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/f66f91f9-c6c5-414d-b784-2faec33e0505,0.9100920928589201
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/70ad7ae6-c9af-4975-98e2-98c249e36ddd,0.9086377211920516
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,0.7586188451798018
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/4e2e6f98-ec16-4627-a06a-d3cdc282ee1c,0.7586188451798016
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/3a25960a-8e7a-4020-8dfb-8ce6c3423e35,0.3466572989728544
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/19fee435-ebad-476c-bc9a-e11d2cee035e,0.3466572989728544
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/5764d42e-95e4-4e5a-b36e-ca498354906d,0.3466572989728544
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/1f414fc5-cb93-45b7-a1b8-0cd21dfa9f7d,0.3466572989728544
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/c5e652ed-7e40-41de-bfc0-a73f05a0c66a,0.34665729897285436
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/840b29a9-5a04-41cc-908d-0c4fa5720366,0.9997736283704809
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/56b136e7-40dd-477a-b5b6-9be0bb98374c,0.9917275760385019
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/ab2e49b2-1959-44af-8e83-ac16878f6c12,0.991726266608637
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/ab2e49b2-1959-44af-8e83-ac16878f6c12,0.991726266608637
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/ab2e49b2-1959-44af-8e83-ac16878f6c12,0.991726266608637
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/c8cdaa06-847b-4747-9a00-d89761cea031,0.9917262666086369
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,0.9694177692808985
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/c5d8b584-d6b7-4a98-8330-a97ecec688f8,0.9694177688857601
