#####Coverage percentage#####
87.56%
#####Number of terms covered by each term in the slim#####
melanocyte,14
http://purl.obolibrary.org/obo/CL_0007002,precementoblast
http://purl.obolibrary.org/obo/CL_0000311,keratin accumulating cell
http://purl.obolibrary.org/obo/CL_0000114,surface ectodermal cell
http://purl.obolibrary.org/obo/CL_0000462,adepithelial cell
http://purl.obolibrary.org/obo/CL_1000893,kidney venous blood vessel cell
http://purl.obolibrary.org/obo/CL_0000629,storage cell
http://purl.obolibrary.org/obo/CL_0005005,cyanoblast
http://purl.obolibrary.org/obo/CL_0000371,protoplast
http://purl.obolibrary.org/obo/CL_0000226,single nucleate cell
http://purl.obolibrary.org/obo/CL_0000454,epinephrine secreting cell
http://purl.obolibrary.org/obo/CL_0005003,leucoblast
http://purl.obolibrary.org/obo/CL_0009116,progenitor cell of mammary luminal epithelium
http://purl.obolibrary.org/obo/CL_0002387,arthroconidium
http://purl.obolibrary.org/obo/CL_0000467,adrenocorticotropic hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000249,hatching gland cell
http://purl.obolibrary.org/obo/CL_0000486,garland cell
http://purl.obolibrary.org/obo/CL_0000661,distal tip cell (sensu Nematoda)
http://purl.obolibrary.org/obo/CL_0000221,ectodermal cell
http://purl.obolibrary.org/obo/CL_4033089,atretic follicular cell of ovary
http://purl.obolibrary.org/obo/CL_0000554,gastrin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000436,vaginal lubricant secreting cell
http://purl.obolibrary.org/obo/CL_1000272,lung secretory cell
http://purl.obolibrary.org/obo/CL_2000036,anterior lateral line neuromast supporting cell
http://purl.obolibrary.org/obo/CL_0000178,Leydig cell
http://purl.obolibrary.org/obo/CL_0002176,secondary follicular cell of ovary
http://purl.obolibrary.org/obo/CL_0000506,enkephalin secreting cell
http://purl.obolibrary.org/obo/CL_0000154,protein secreting cell
http://purl.obolibrary.org/obo/CL_4052046,early luteal cell
http://purl.obolibrary.org/obo/CL_0001064,malignant cell
http://purl.obolibrary.org/obo/CL_0009010,transit amplifying cell
http://purl.obolibrary.org/obo/CL_0002546,embryonic blood vessel endothelial progenitor cell
http://purl.obolibrary.org/obo/CL_2000022,cardiac septum cell
http://purl.obolibrary.org/obo/CL_1000330,serous cell of epithelium of trachea
http://purl.obolibrary.org/obo/CL_2000021,sebaceous gland cell
http://purl.obolibrary.org/obo/CL_1000804,kidney outer medulla interstitial cell
http://purl.obolibrary.org/obo/CL_0008017,adult skeletal muscle myoblast
http://purl.obolibrary.org/obo/CL_0010007,His-Purkinje system cell
http://purl.obolibrary.org/obo/CL_0000603,dikaryon
http://purl.obolibrary.org/obo/CL_0000431,iridophore
http://purl.obolibrary.org/obo/CL_0010016,collar cell
http://purl.obolibrary.org/obo/CL_4033090,atretic granulosa cell
http://purl.obolibrary.org/obo/CL_0000010,cultured cell
http://purl.obolibrary.org/obo/CL_0000605,fungal asexual spore
http://purl.obolibrary.org/obo/CL_0000641,chromophobe cell
http://purl.obolibrary.org/obo/CL_0000676,cap cell
http://purl.obolibrary.org/obo/CL_0002375,Schwann cell precursor
http://purl.obolibrary.org/obo/CL_1000500,kidney interstitial cell
http://purl.obolibrary.org/obo/CL_0009019,nephrogenic zone cell
http://purl.obolibrary.org/obo/CL_0000353,blastoderm cell
http://purl.obolibrary.org/obo/CL_1000617,kidney inner medulla cell
http://purl.obolibrary.org/obo/CL_0000541,melanoblast
http://purl.obolibrary.org/obo/CL_0002494,cardiocyte
http://purl.obolibrary.org/obo/CL_0000175,luteal cell
http://purl.obolibrary.org/obo/CL_0000594,skeletal muscle satellite cell
http://purl.obolibrary.org/obo/CL_0002351,progenitor cell of endocrine pancreas
http://purl.obolibrary.org/obo/CL_1000333,serous cell of epithelium of lobular bronchiole
http://purl.obolibrary.org/obo/CL_1001135,arcuate artery cell
http://purl.obolibrary.org/obo/CL_0000593,androgen secreting cell
http://purl.obolibrary.org/obo/CL_4052027,atretic theca cell
http://purl.obolibrary.org/obo/CL_0000030,glioblast
http://purl.obolibrary.org/obo/CL_0000222,mesodermal cell
http://purl.obolibrary.org/obo/CL_0000421,coelomocyte
http://purl.obolibrary.org/obo/CL_4042016,nasal serous secreting cell
http://purl.obolibrary.org/obo/CL_0002384,uninucleate macroconidium
http://purl.obolibrary.org/obo/CL_4033067,mural granulosa cell
http://purl.obolibrary.org/obo/CL_0000619,supporting cell (sensu Nematoda)
http://purl.obolibrary.org/obo/CL_0000310,iron accumulating cell
http://purl.obolibrary.org/obo/CL_0000631,labyrinth supporting cell
http://purl.obolibrary.org/obo/CL_0005018,ghrelin secreting cell
http://purl.obolibrary.org/obo/CL_0000179,progesterone secreting cell
http://purl.obolibrary.org/obo/CL_0000257,Eumycetozoan cell
http://purl.obolibrary.org/obo/CL_1000854,kidney blood vessel cell
http://purl.obolibrary.org/obo/CL_2000020,inner cell mass cell
http://purl.obolibrary.org/obo/CL_0000524,spheroplast
http://purl.obolibrary.org/obo/CL_4040006,dermal chromatophore
http://purl.obolibrary.org/obo/CL_0000055,non-terminally differentiated cell
http://purl.obolibrary.org/obo/CL_0000578,experimentally modified cell in vitro
http://purl.obolibrary.org/obo/CL_0000505,substance P secreting cell
http://purl.obolibrary.org/obo/CL_0000345,dental papilla cell
http://purl.obolibrary.org/obo/CL_0000456,mineralocorticoid secreting cell
http://purl.obolibrary.org/obo/CL_0002383,conidium of conidiophore head
http://purl.obolibrary.org/obo/CL_0000443,calcitonin secreting cell
http://purl.obolibrary.org/obo/CL_1000497,kidney cell
http://purl.obolibrary.org/obo/CL_0007003,preodontoblast
http://purl.obolibrary.org/obo/CL_1000550,kidney papillary duct principal epithelial cell
