dataset,reported_organ,modality,as,similarity
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001248,0.000006368679000723675
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001052,0.00012319512010669137
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001156,0.00013288247132524665
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001223,0.004234948115917807
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001153,0.9745886822733076
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002007,0.000003575288833575329
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0008716,0.004324920781529883
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004200,0.0029177005561205863
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002189,0.0020281640054837994
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0010397,0.0000026311324932428872
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7426,0.017284103030976418
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0010748,0.000003802860897564426
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002194,0.000003665013819429019
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004888,0.00835391885526231
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002015,0.004729105297245879
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002084,0.023760027616244184
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002115,0.8618843849429639
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002078,0.01595581456355018
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004887,0.012969408569509039
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004536,0.000004041751327603734
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001284,0.005846155909388611
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002080,0.026070877915119188
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002116,0.9302796722497764
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0010417,0.0000035352144629795222
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002094,0.01979891103965146
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma14926,0.9161880754104741
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7366,0.010223380643075052
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7400,0.004141929639666142
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma14966,0.9547928780520202
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7428,0.014514730916424292
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7375,0.011905285649073486
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7416,0.025216332406467763
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7385,0.008158401160696488
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7373,0.013226403316419232
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma14930,0.9143006226380754
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7430,0.012320875080952491
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7339,0.045434035818399394
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7398,0.04953503852533293
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7359,0.012196044764886813
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7364,0.012979088957324785
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma14929,0.910066525508213
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7338,0.08901797049727343
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7360,0.00783571181369751
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma15828,0.000005262110034318413
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7361,0.009983011810375916
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma14928,0.891685025547884
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7374,0.014266138396139055
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.org/sig/ont/fma/fma7386,0.014839241840066533
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001158,0.9547928780520204
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001153,0.9358718494056424
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001159,0.8970168404178177
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001248,0.000009842737375805845
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001052,0.0001903969744829714
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001223,0.004415755287963676
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001156,0.0002053686905799199
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001228,0.0036113957633669568
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001157,0.9459516193281036
