cell_label,cell_id,level,level_cell_id,level_cell_label
gamma-delta T cell,http://purl.obolibrary.org/obo/CL_0000798,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
gamma-delta T cell,http://purl.obolibrary.org/obo/CL_0000798,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
glomerular capillary endothelial cell,http://purl.obolibrary.org/obo/CL_1001005,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
goblet cell,http://purl.obolibrary.org/obo/CL_0000160,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
"group 3 innate lymphoid cell, human",http://purl.obolibrary.org/obo/CL_0001078,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037,L1,http://purl.obolibrary.org/obo/CL_0000034,stem cell
hepatocyte,http://purl.obolibrary.org/obo/CL_0000182,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
innate lymphoid cell,http://purl.obolibrary.org/obo/CL_0001065,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
intermediate monocyte,http://purl.obolibrary.org/obo/CL_0002393,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
intermediate monocyte,http://purl.obolibrary.org/obo/CL_0002393,L2,http://purl.obolibrary.org/obo/CL_0000576,monocyte
interstitial cell of Cajal,http://purl.obolibrary.org/obo/CL_0002088,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
intestinal crypt stem cell of large intestine,http://purl.obolibrary.org/obo/CL_0009016,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
intestinal crypt stem cell of large intestine,http://purl.obolibrary.org/obo/CL_0009016,L1,http://purl.obolibrary.org/obo/CL_0000034,stem cell
ionocyte,http://purl.obolibrary.org/obo/CL_0005006,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney connecting tubule alpha-intercalated cell,http://purl.obolibrary.org/obo/CL_4030020,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney connecting tubule epithelial cell,http://purl.obolibrary.org/obo/CL_1000768,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney connecting tubule principal cell,http://purl.obolibrary.org/obo/CL_4030018,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney cortex collecting duct intercalated cell,http://purl.obolibrary.org/obo/CL_1000715,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney cortex collecting duct principal cell,http://purl.obolibrary.org/obo/CL_1000714,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney granular cell,http://purl.obolibrary.org/obo/CL_0000648,L1,http://purl.obolibrary.org/obo/CL_0000187,muscle cell
kidney inner medulla collecting duct principal cell,http://purl.obolibrary.org/obo/CL_1000718,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney interstitial fibroblast,http://purl.obolibrary.org/obo/CL_1000692,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
kidney interstitial fibroblast,http://purl.obolibrary.org/obo/CL_1000692,L2,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
kidney loop of Henle cortical thick ascending limb epithelial cell,http://purl.obolibrary.org/obo/CL_1001109,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney loop of Henle long descending thin limb inner medulla epithelial cell,http://purl.obolibrary.org/obo/CL_4030014,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney loop of Henle long descending thin limb outer medulla epithelial cell,http://purl.obolibrary.org/obo/CL_4030013,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney loop of Henle medullary thick ascending limb epithelial cell,http://purl.obolibrary.org/obo/CL_1001108,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney loop of Henle short descending thin limb epithelial cell,http://purl.obolibrary.org/obo/CL_4030012,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney loop of Henle thin ascending limb epithelial cell,http://purl.obolibrary.org/obo/CL_1001107,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney outer medulla collecting duct intercalated cell,http://purl.obolibrary.org/obo/CL_1000717,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
kidney outer medulla collecting duct principal cell,http://purl.obolibrary.org/obo/CL_1000716,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
large intestine goblet cell,http://purl.obolibrary.org/obo/CL_1000320,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
leukocyte,http://purl.obolibrary.org/obo/CL_0000738,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
luminal cell of prostate epithelium,http://purl.obolibrary.org/obo/CL_0002340,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
lung interstitial macrophage,http://purl.obolibrary.org/obo/CL_4033043,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
lung interstitial macrophage,http://purl.obolibrary.org/obo/CL_4033043,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
lung interstitial macrophage,http://purl.obolibrary.org/obo/CL_4033043,L2,http://purl.obolibrary.org/obo/CL_0000235,macrophage
lung macrophage,http://purl.obolibrary.org/obo/CL_1001603,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
lung macrophage,http://purl.obolibrary.org/obo/CL_1001603,L2,http://purl.obolibrary.org/obo/CL_0000235,macrophage
lung microvascular endothelial cell,http://purl.obolibrary.org/obo/CL_2000016,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
lung migratory dendritic cell,http://purl.obolibrary.org/obo/CL_4033045,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
lung migratory dendritic cell,http://purl.obolibrary.org/obo/CL_4033045,L2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
lung multiciliated epithelial cell,http://purl.obolibrary.org/obo/CL_1000271,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
lung pericyte,http://purl.obolibrary.org/obo/CL_0009089,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
"lung resident memory CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_4033038,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"lung resident memory CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_4033038,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"lung resident memory CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_4033039,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"lung resident memory CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_4033039,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
lymphocyte,http://purl.obolibrary.org/obo/CL_0000542,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
macrophage,http://purl.obolibrary.org/obo/CL_0000235,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
macrophage,http://purl.obolibrary.org/obo/CL_0000235,L2,http://purl.obolibrary.org/obo/CL_0000235,macrophage
macula densa epithelial cell,http://purl.obolibrary.org/obo/CL_1000850,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
mast cell,http://purl.obolibrary.org/obo/CL_0000097,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
mature NK T cell,http://purl.obolibrary.org/obo/CL_0000814,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
mature NK T cell,http://purl.obolibrary.org/obo/CL_0000814,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
mature alpha-beta T cell,http://purl.obolibrary.org/obo/CL_0000791,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
mature alpha-beta T cell,http://purl.obolibrary.org/obo/CL_0000791,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
medullary thymic epithelial cell,http://purl.obolibrary.org/obo/CL_0002365,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
melanocyte,http://purl.obolibrary.org/obo/CL_0000148,L1,http://purl.obolibrary.org/obo/CL_0000148,melanocyte
melanocyte of skin,http://purl.obolibrary.org/obo/CL_1000458,L1,http://purl.obolibrary.org/obo/CL_0000148,melanocyte
memory B cell,http://purl.obolibrary.org/obo/CL_0000787,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
memory B cell,http://purl.obolibrary.org/obo/CL_0000787,L2,http://purl.obolibrary.org/obo/CL_0000236,B cell
mesangial cell,http://purl.obolibrary.org/obo/CL_0000650,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
mesothelial cell,http://purl.obolibrary.org/obo/CL_0000077,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
